country,region_group,inequality_index,gini_index,gini_mean,gini_year,years_available,reliable,happiness_score
Albania,Europe and Northern America,0.16123827208267683,29.4,31.372727272727275,2020.0,11,True,5.411
Algeria,Northern Africa and Western Asia,0.3130277239203064,27.6,27.6,2011.0,1,False,5.571
Argentina,Latin America and the Caribbean,0.4513488399399962,42.4,44.97826086956522,2023.0,23,True,6.397
Armenia,Northern Africa and Western Asia,0.16129781506581728,27.2,31.1695652173913,2023.0,23,True,5.494
Australia,Oceania,0.13058408942702893,34.3,34.075,2018.0,8,True,6.974
Austria,Europe and Northern America,0.13797719329949895,30.9,30.257142857142856,2022.0,21,True,6.81
Azerbaijan,Northern Africa and Western Asia,0.10404897763515089,26.6,28.360000000000003,2005.0,5,True,4.875
Bangladesh,Central and Southern Asia,0.43137393437791544,33.4,32.9,2022.0,5,True,3.851
Belgium,Europe and Northern America,0.1392181308442657,26.4,28.152380952380955,2022.0,21,True,6.91
Belize,Latin America and the Caribbean,0.38974589440974916,39.9,39.9,2018.0,1,False,6.711
Benin,Sub-Saharan Africa,0.6446775896044753,34.4,40.38,2021.0,5,True,4.357
Bolivia,Latin America and the Caribbean,0.2811361050759554,42.1,49.07272727272728,2023.0,22,True,5.868
Botswana,Sub-Saharan Africa,0.42643600460980774,54.9,57.76666666666667,2015.0,3,False,3.438
Brazil,Latin America and the Caribbean,0.44911344708862894,51.6,53.97727272727273,2023.0,22,True,6.494
Bulgaria,Europe and Northern America,0.2657880266631743,38.2,36.82631578947369,2022.0,19,True,5.554
Burkina Faso,Sub-Saharan Africa,0.5497262294625205,37.4,39.76,2021.0,5,True,4.383
Cameroon,Sub-Saharan Africa,0.6925398471036075,42.2,43.425000000000004,2021.0,4,False,4.887
Canada,Europe and Northern America,0.02264912960517097,29.9,33.24761904761905,2020.0,21,True,6.803
Chad,Sub-Saharan Africa,0.8194374869677247,37.4,39.5,2022.0,4,False,4.384
Chile,Latin America and the Caribbean,0.20467577426806774,43.0,47.370000000000005,2022.0,10,True,6.361
China,Eastern and South-eastern Asia,0.21706207443233416,35.7,39.919999999999995,2021.0,15,True,5.921
Colombia,Latin America and the Caribbean,0.4079295468266519,53.9,53.63181818181818,2023.0,22,True,6.004
Comoros,Sub-Saharan Africa,0.36194547400437393,45.3,50.599999999999994,2014.0,2,False,3.754
Costa Rica,Latin America and the Caribbean,0.3003232163481573,45.8,48.635999999999996,2024.0,25,True,7.274
Croatia,Europe and Northern America,0.13582147679386827,30.0,31.061111111111106,2022.0,18,True,5.87
Cyprus,Northern Africa and Western Asia,0.14701606177487103,31.5,32.32105263157895,2022.0,19,True,5.942
Czechia,Europe and Northern America,0.2375831575999087,25.9,26.125,2022.0,20,True,6.775
Denmark,Europe and Northern America,0.15804585929905388,29.3,27.085714285714282,2022.0,21,True,7.521
Ecuador,Latin America and the Caribbean,0.32886908329002806,44.6,48.33636363636364,2023.0,22,True,5.965
El Salvador,Latin America and the Caribbean,0.3423209057586763,39.8,43.96521739130435,2023.0,23,True,6.492
Estonia,Europe and Northern America,0.1393068431707189,32.3,32.926086956521736,2022.0,23,True,6.417
Eswatini,Sub-Saharan Africa,0.333361736026009,54.6,53.03333333333333,2016.0,3,False,3.774
Ethiopia,Sub-Saharan Africa,0.5242916546859031,31.1,32.275000000000006,2021.0,4,False,3.898
Finland,Europe and Northern America,0.11601613155438809,27.9,27.509523809523813,2022.0,21,True,7.736
France,Europe and Northern America,0.15037996393296255,31.2,31.93913043478261,2022.0,23,True,6.593
Gabon,Sub-Saharan Africa,0.4307645541702729,38.0,40.1,2017.0,2,False,5.12
Georgia,Northern Africa and Western Asia,0.12357410821359167,34.8,37.24166666666667,2023.0,24,True,5.4
Germany,Europe and Northern America,0.12879103847623835,32.4,30.88095238095238,2020.0,21,True,6.753
Ghana,Sub-Saharan Africa,0.7083644424180082,43.5,42.9,2016.0,3,False,4.34
Greece,Europe and Northern America,0.19478024117596196,33.4,34.28095238095238,2022.0,21,True,5.776
Guatemala,Latin America and the Caribbean,0.734048253731491,45.2,50.55,2023.0,4,False,6.362
Guinea,Sub-Saharan Africa,0.6783822412176783,29.6,36.425,2018.0,4,False,4.929
Honduras,Latin America and the Caribbean,0.5618147327998464,46.8,52.910000000000004,2023.0,20,True,5.964
Hungary,Europe and Northern America,0.25027704449030924,30.2,29.517391304347825,2022.0,23,True,5.915
Iceland,Europe and Northern America,0.24762644024407623,26.6,27.73125,2018.0,16,True,7.515
India,Central and Southern Asia,0.35896036813622956,25.5,27.450000000000003,2022.0,4,False,4.389
Indonesia,Eastern and South-eastern Asia,0.38525403915952033,34.9,34.391999999999996,2024.0,25,True,5.617
Iraq,Northern Africa and Western Asia,0.3445129279524194,29.8,29.3,2023.0,3,False,4.976
Ireland,Europe and Northern America,0.233979238097177,29.9,31.954545454545453,2022.0,22,True,6.889
Israel,Northern Africa and Western Asia,0.2998819045876663,37.9,40.20952380952381,2021.0,21,True,7.234
Italy,Europe and Northern America,0.1442550697604019,33.7,34.622727272727275,2022.0,22,True,6.415
Jamaica,Latin America and the Caribbean,0.18588636775273626,39.9,42.25,2021.0,4,False,5.87
Japan,Eastern and South-eastern Asia,0.22412720969613187,32.3,32.300000000000004,2020.0,13,True,6.147
